source,target,topic,relation,weight,source_stance,target_stance,source_sentence,target_sentence
28,42,minimum wage,attack,0.6641375422477722,pro,contra,"Potrivit James K. Galbraith, PhD, profesor de guvernare la Universitatea Texas din Austin, „[b] deoarece veniturile din salarii și impozitele pe venit ar crește [ca urmare a unei creșteri a salariului minim], deficitul federal ar scădea.”",Creșterea salariului minim federal ar dăuna în mod disproporționat celor mai sărace zone ale Statelor Unite.
29,31,minimum wage,support,0.7030231952667236,pro,pro,"O creștere a salariului minim va pune mai mulți bani în buzunarele mai multor familii, care vor fi cheltuiți pe bunuri și servicii, stimulând creșterea economică la nivel local și național.",Creșterea salariului minim federal este o parte importantă a consolidării economiei.
37,44,minimum wage,support,0.742968738079071,contra,contra,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început.",Nu este adevărat: muncitorul obișnuit cu salariul minim nu este un elev de liceu care câștigă bani de buzunar în weekend.
37,41,minimum wage,support,0.7268943786621094,contra,contra,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început.","Mai puține angajări: dacă afacerile trebuie să plătească salariul minim mai mult angajaților, nu își pot permite să angajeze atât de mulți angajați."
37,38,minimum wage,support,0.7040930986404419,contra,contra,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început.","Concurența se va intensifica: dacă salariul minim crește, persoanele prea calificate vor lupta pentru poziții cu salariul minim, împingând lucrătorii mai tineri și fără experiență din competiție și răpindu-le oportunitatea de a câștiga experiență și cunoștințe pentru a-și construi un CV și a intra în forța de muncă."
41,44,minimum wage,support,0.6614207029342651,contra,contra,"Mai puține angajări: dacă afacerile trebuie să plătească salariul minim mai mult angajaților, nu își pot permite să angajeze atât de mulți angajați.",Nu este adevărat: muncitorul obișnuit cu salariul minim nu este un elev de liceu care câștigă bani de buzunar în weekend.
46,48,school uniforms,support,0.7091588973999023,pro,pro,Uniformele școlare pot economisi bani pentru părinți.,Majoritatea părinților și educatorilor susțin uniformele școlare obligatorii.
46,49,school uniforms,support,0.6567319631576538,pro,pro,Uniformele școlare pot economisi bani pentru părinți.,Uniformele școlare pot îmbunătăți prezența și disciplina.
48,49,school uniforms,support,0.6915653944015503,pro,pro,Majoritatea părinților și educatorilor susțin uniformele școlare obligatorii.,Uniformele școlare pot îmbunătăți prezența și disciplina.
49,50,school uniforms,support,0.665596604347229,pro,pro,Uniformele școlare pot îmbunătăți prezența și disciplina.,"Un studiu din 2007, evaluat de colegi, a constatat că, după introducerea uniformelor, „Profesorii au perceput o creștere a nivelului de respect, grijă și încredere... în întreaga școală” și au spus că „elevii sunt făcuți să se simtă „importanți” și ca și cum ar fi parte dintr-o echipă purtând o uniformă”."
50,51,school uniforms,support,0.6610903739929199,pro,pro,"Un studiu din 2007, evaluat de colegi, a constatat că, după introducerea uniformelor, „Profesorii au perceput o creștere a nivelului de respect, grijă și încredere... în întreaga școală” și au spus că „elevii sunt făcuți să se simtă „importanți” și ca și cum ar fi parte dintr-o echipă purtând o uniformă”.",Un studiu evaluat de colegi din 2012 a constatat că 54 % dintre elevii de clasa a VIII-a au spus că își pot exprima în continuare individualitatea purtând uniforme școlare.
58,60,school uniforms,attack,0.7233849167823792,pro,contra,O carte din 2004 susține că uniformele nu îmbunătățesc siguranța școlii sau disciplina academică.,Brunsma a concluzionat că nu există o corelație pozitivă între uniforme și siguranța școlară sau performanța școlară.
58,62,school uniforms,attack,0.6727762222290039,pro,contra,O carte din 2004 susține că uniformele nu îmbunătățesc siguranța școlii sau disciplina academică.,Uniformele școlare de astăzi par mai degrabă o măsură punitivă menită să le refuze elevilor dreptul la libertatea de exprimare și la individualitate.
61,62,school uniforms,support,0.7341681122779846,contra,contra,"Școlile petrec atât de mult timp încercând să-și țină elevii sub control, încât ajung să zdrobească scânteile cu care s-au născut unii dintre acești copii... Uniformele pun în pericol capacitatea tinerilor Americii de a se exprima, de a deveni oamenii care își doresc să fie.",Uniformele școlare de astăzi par mai degrabă o măsură punitivă menită să le refuze elevilor dreptul la libertatea de exprimare și la individualitate.
61,63,school uniforms,attack,0.6887391209602356,contra,pro,"Școlile petrec atât de mult timp încercând să-și țină elevii sub control, încât ajung să zdrobească scânteile cu care s-au născut unii dintre acești copii... Uniformele pun în pericol capacitatea tinerilor Americii de a se exprima, de a deveni oamenii care își doresc să fie.",Uniformele școlare din școlile publice subminează promisiunea unei educații gratuite prin impunerea unei cheltuieli suplimentare familiilor.
