source,target,topic,similarity,heuristic_relation,relation_label,source_stance,target_stance,source_sentence,target_sentence
35,40,minimum wage,0.19829890131950378,no_relation,,contra,pro,De ce să arunci mai mulți bani în cineva care se mulțumește să rămână pe loc.,"James Dorn, PhD, Senior Fellow la Institutul Cato, a declarat că o creștere cu 10% a salariului minim „conduce la o scădere cu 1 până la 3% a angajării lucrătorilor slab calificați” pe termen scurt și „la o scădere mai mare pe termen lung”."
39,41,minimum wage,0.14802046120166779,no_relation,,pro,contra,"NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari.","Mai puține angajări: dacă afacerile trebuie să plătească salariul minim mai mult angajaților, nu își pot permite să angajeze atât de mulți angajați."
39,42,minimum wage,0.24835941195487976,no_relation,,pro,contra,"NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari.",Creșterea salariului minim federal ar dăuna în mod disproporționat celor mai sărace zone ale Statelor Unite.
35,43,minimum wage,0.23395103216171265,no_relation,,contra,pro,De ce să arunci mai mulți bani în cineva care se mulțumește să rămână pe loc.,"Unii angajați ai organizației nonprofit din zona Seattle, Full Life Care, au cerut o reducere a orelor după ce a fost majorat salariul minim, invocând îngrijorarea că creșterea va însemna că își vor pierde subvențiile pentru locuințe, dar încă nu își pot permite chirii la prețul pieței."
27,44,minimum wage,0.2098705917596817,no_relation,,pro,contra,"Cu toate acestea, în apelul său de a crește treptat minimul federal actual, președintele Obama a cerut și ca acesta să se ajusteze automat cu inflația.",Nu este adevărat: muncitorul obișnuit cu salariul minim nu este un elev de liceu care câștigă bani de buzunar în weekend.
9,12,nuclear energy,0.6553226709365845,support,,contra,contra,"Prin urmare, sunt necesare soluții costisitoare pentru a proteja Mama Pământ de efectele devastatoare ale energiei nucleare.","Deși nicio tehnologie nu poate fi perfect sigură, energia nucleară este o tehnologie în mod inerent riscantă, iar reducerea la minimum a riscurilor necesită standarde și practici stricte de siguranță."
12,18,nuclear energy,0.7464886903762817,support,,contra,contra,"Deși nicio tehnologie nu poate fi perfect sigură, energia nucleară este o tehnologie în mod inerent riscantă, iar reducerea la minimum a riscurilor necesită standarde și practici stricte de siguranță.","Cu toate acestea, exploatarea centralelor nucleare mai mult decât a fost planificat inițial poate fi destul de periculoasă, deoarece orice instalație sau aparat tehnic devine de obicei mai supărătoare spre sfârșitul speranței de viață planificate."
15,18,nuclear energy,0.6678841710090637,support,,contra,contra,Industria nucleară și cei care pretind să o reglementeze au minimizat potențialul unui astfel de accident.,"Cu toate acestea, exploatarea centralelor nucleare mai mult decât a fost planificat inițial poate fi destul de periculoasă, deoarece orice instalație sau aparat tehnic devine de obicei mai supărătoare spre sfârșitul speranței de viață planificate."
0,14,nuclear energy,0.033769045025110245,no_relation,,contra,contra,Orice astfel de material este transportat în containere concepute pentru a asigura siguranța în orice circumstanță.,Singura soluție este oprirea expansiunii întregii energie nucleară și închiderea centralelor existente.
1,2,nuclear energy,-0.02964797616004944,no_relation,,pro,contra,"Costul uraniului, care este folosit ca combustibil în acest proces, este scăzut.",Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.
2,19,nuclear energy,-0.08765213936567307,no_relation,,contra,pro,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,"În calitate de lideri mondiali, puteți lucra împreună pentru a înlocui această cantitate mică de energie din alte surse de energie ușor disponibile, foarte sigure și accesibile, pentru a ne îndrepta către un viitor fără carbon și fără nucleare. ”"
2,3,nuclear energy,0.001445006113499403,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,Cum rămâne cu toate emisiile de CO2 create de fabricarea și asamblarea parcurilor eoliene sau a instalațiilor de energie solară?
2,4,nuclear energy,-0.011687824502587318,no_relation,,contra,pro,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,"De asemenea , dacă știm să controlăm fuziunea atomică , aceleași reacții care alimentează soarele , putem avea energie aproape nelimitată ."
2,5,nuclear energy,0.09893164038658142,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,"Deșeurile sunt conținute și gestionate, nu eliberate."
0,6,nuclear energy,0.0686810314655304,no_relation,,contra,pro,Orice astfel de material este transportat în containere concepute pentru a asigura siguranța în orice circumstanță.,"Cantitatea de combustibil necesară unei centrale nucleare este comparativ mai mică decât cea cerută de alte centrale electrice, deoarece energia eliberată de fisiunea nucleară este de aproximativ zece milioane de ori mai mare decât cantitatea de energie eliberată de atomul de combustibil fosil."
2,7,nuclear energy,0.1562064290046692,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,"„Țintă pentru terorism” Acest lucru se aplică și altor lucruri precum hidrocentralele, dar microcentralele moderne pot fi subterane, astfel încât nici măcar un accident de avion să nu dăuneze reactorului."
2,8,nuclear energy,-0.05634205415844917,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,"Pentru că ei știu că, dacă reciclezi barele de combustibil, nu ai o problemă cu deșeurile și pierd argumentul împotriva nuclearului."
2,9,nuclear energy,0.11878493428230286,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,"Prin urmare, sunt necesare soluții costisitoare pentru a proteja Mama Pământ de efectele devastatoare ale energiei nucleare."
2,10,nuclear energy,0.09216461330652237,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,Reprocesarea combustibilului uzat dă naștere la plutoniu care este probabil să fie folosit în bombe.
11,13,nuclear energy,0.018426787108182907,no_relation,,contra,contra,"Răcirea acestor operațiuni necesită adesea o mulțime de apă, a cărei extragere și eliberare pot afecta fauna acvatică.","Nu putem fi siguri că uraniul nostru nu ajunge în arme, de exemplu în Franța sau China."
2,12,nuclear energy,0.1586887389421463,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,"Deși nicio tehnologie nu poate fi perfect sigură, energia nucleară este o tehnologie în mod inerent riscantă, iar reducerea la minimum a riscurilor necesită standarde și practici stricte de siguranță."
2,13,nuclear energy,0.03204549103975296,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,"Nu putem fi siguri că uraniul nostru nu ajunge în arme, de exemplu în Franța sau China."
2,14,nuclear energy,-0.014369286596775055,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,Singura soluție este oprirea expansiunii întregii energie nucleară și închiderea centralelor existente.
3,15,nuclear energy,0.17359167337417603,no_relation,,contra,contra,Cum rămâne cu toate emisiile de CO2 create de fabricarea și asamblarea parcurilor eoliene sau a instalațiilor de energie solară?,Industria nucleară și cei care pretind să o reglementeze au minimizat potențialul unui astfel de accident.
2,16,nuclear energy,0.09144692122936249,no_relation,,contra,pro,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,"Energia nucleară este prea scumpă, eficiența energetică este tot ceea ce este necesar, cu o utilizare mai mare a surselor regenerabile."
0,17,nuclear energy,0.06445641815662384,no_relation,,contra,contra,Orice astfel de material este transportat în containere concepute pentru a asigura siguranța în orice circumstanță.,"Dar, după cum a remarcat Michael Grunwald în Time, estimările recente ale prețurilor pentru o fabrică mare din Florida au fost de la 12 la 18 miliarde de dolari, și asta înainte de a lua în considerare faptul că industria nucleară are o istorie de depășiri de 250% a costurilor. Unii analiști spun că metodele alternative ar aduce mult mai mult profit pentru economisirea climei decât energia nucleară."
5,18,nuclear energy,0.18222853541374207,no_relation,,contra,contra,"Deșeurile sunt conținute și gestionate, nu eliberate.","Cu toate acestea, exploatarea centralelor nucleare mai mult decât a fost planificat inițial poate fi destul de periculoasă, deoarece orice instalație sau aparat tehnic devine de obicei mai supărătoare spre sfârșitul speranței de viață planificate."
11,19,nuclear energy,0.08660481870174408,no_relation,,contra,pro,"Răcirea acestor operațiuni necesită adesea o mulțime de apă, a cărei extragere și eliberare pot afecta fauna acvatică.","În calitate de lideri mondiali, puteți lucra împreună pentru a înlocui această cantitate mică de energie din alte surse de energie ușor disponibile, foarte sigure și accesibile, pentru a ne îndrepta către un viitor fără carbon și fără nucleare. ”"
2,20,nuclear energy,0.1220812201499939,no_relation,,contra,contra,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,Majoritatea uraniului cunoscut din întreaga lume se află sub pământ controlat de triburi sau popoare indigene care nu susțin ca acesta să fie extras din pământ.
46,48,school uniforms,0.7091588973999023,support,,pro,pro,Uniformele școlare pot economisi bani pentru părinți.,Majoritatea părinților și educatorilor susțin uniformele școlare obligatorii.
46,49,school uniforms,0.6567319631576538,support,,pro,pro,Uniformele școlare pot economisi bani pentru părinți.,Uniformele școlare pot îmbunătăți prezența și disciplina.
48,49,school uniforms,0.6915653944015503,support,,pro,pro,Majoritatea părinților și educatorilor susțin uniformele școlare obligatorii.,Uniformele școlare pot îmbunătăți prezența și disciplina.
49,50,school uniforms,0.665596604347229,support,,pro,pro,Uniformele școlare pot îmbunătăți prezența și disciplina.,"Un studiu din 2007, evaluat de colegi, a constatat că, după introducerea uniformelor, „Profesorii au perceput o creștere a nivelului de respect, grijă și încredere... în întreaga școală” și au spus că „elevii sunt făcuți să se simtă „importanți” și ca și cum ar fi parte dintr-o echipă purtând o uniformă”."
50,51,school uniforms,0.6610903739929199,support,,pro,pro,"Un studiu din 2007, evaluat de colegi, a constatat că, după introducerea uniformelor, „Profesorii au perceput o creștere a nivelului de respect, grijă și încredere... în întreaga școală” și au spus că „elevii sunt făcuți să se simtă „importanți” și ca și cum ar fi parte dintr-o echipă purtând o uniformă”.",Un studiu evaluat de colegi din 2012 a constatat că 54 % dintre elevii de clasa a VIII-a au spus că își pot exprima în continuare individualitatea purtând uniforme școlare.
58,60,school uniforms,0.7233849167823792,attack,,pro,contra,O carte din 2004 susține că uniformele nu îmbunătățesc siguranța școlii sau disciplina academică.,Brunsma a concluzionat că nu există o corelație pozitivă între uniforme și siguranța școlară sau performanța școlară.
58,62,school uniforms,0.6727762222290039,attack,,pro,contra,O carte din 2004 susține că uniformele nu îmbunătățesc siguranța școlii sau disciplina academică.,Uniformele școlare de astăzi par mai degrabă o măsură punitivă menită să le refuze elevilor dreptul la libertatea de exprimare și la individualitate.
61,62,school uniforms,0.7341681122779846,support,,contra,contra,"Școlile petrec atât de mult timp încercând să-și țină elevii sub control, încât ajung să zdrobească scânteile cu care s-au născut unii dintre acești copii... Uniformele pun în pericol capacitatea tinerilor Americii de a se exprima, de a deveni oamenii care își doresc să fie.",Uniformele școlare de astăzi par mai degrabă o măsură punitivă menită să le refuze elevilor dreptul la libertatea de exprimare și la individualitate.
61,63,school uniforms,0.6887391209602356,attack,,contra,pro,"Școlile petrec atât de mult timp încercând să-și țină elevii sub control, încât ajung să zdrobească scânteile cu care s-au născut unii dintre acești copii... Uniformele pun în pericol capacitatea tinerilor Americii de a se exprima, de a deveni oamenii care își doresc să fie.",Uniformele școlare din școlile publice subminează promisiunea unei educații gratuite prin impunerea unei cheltuieli suplimentare familiilor.
45,54,school uniforms,0.20227839052677155,no_relation,,pro,contra,"Virginia B. Draa, profesor asistent de Ecologie Umană la Universitatea de Stat din Youngstown, a spus că uniformele pot scădea presiunea colegilor și pot estompa liniile de curs între studenți.","În orice alt domeniu al vieții, nu am visa să le spunem fetelor că trebuie să poarte o fustă."
46,53,school uniforms,0.09172119200229645,no_relation,,pro,contra,Uniformele școlare pot economisi bani pentru părinți.,"Analiza ei finală a surprins-o: „Am intrat într-adevăr în această gândire că uniformele nu fac diferență, dar am plecat văzând că da."
47,54,school uniforms,0.0019380990415811539,no_relation,,pro,contra,Uniformele încurajează și reflectă asemănarea.,"În orice alt domeniu al vieții, nu am visa să le spunem fetelor că trebuie să poarte o fustă."
48,54,school uniforms,0.18108443915843964,no_relation,,pro,contra,Majoritatea părinților și educatorilor susțin uniformele școlare obligatorii.,"În orice alt domeniu al vieții, nu am visa să le spunem fetelor că trebuie să poarte o fustă."
49,54,school uniforms,0.13926848769187927,no_relation,,pro,contra,Uniformele școlare pot îmbunătăți prezența și disciplina.,"În orice alt domeniu al vieții, nu am visa să le spunem fetelor că trebuie să poarte o fustă."
50,54,school uniforms,0.10389383882284164,no_relation,,pro,contra,"Un studiu din 2007, evaluat de colegi, a constatat că, după introducerea uniformelor, „Profesorii au perceput o creștere a nivelului de respect, grijă și încredere... în întreaga școală” și au spus că „elevii sunt făcuți să se simtă „importanți” și ca și cum ar fi parte dintr-o echipă purtând o uniformă”.","În orice alt domeniu al vieții, nu am visa să le spunem fetelor că trebuie să poarte o fustă."
51,59,school uniforms,0.20303872227668762,no_relation,,pro,contra,Un studiu evaluat de colegi din 2012 a constatat că 54 % dintre elevii de clasa a VIII-a au spus că își pot exprima în continuare individualitatea purtând uniforme școlare.,"Deși nu este evident, uniformele alimentează interese comerciale răutăcioase și ar trebui oprite înainte de a se pierde mai mulți bani irositi."
52,54,school uniforms,-0.014842857606709003,no_relation,,pro,contra,Uniformele pot fi refolosite și reciclate.,"În orice alt domeniu al vieții, nu am visa să le spunem fetelor că trebuie să poarte o fustă."
53,56,school uniforms,0.07782870531082153,no_relation,,contra,pro,"Analiza ei finală a surprins-o: „Am intrat într-adevăr în această gândire că uniformele nu fac diferență, dar am plecat văzând că da.","Îmbunătățiri mai substanțiale ale educației publice ar putea fi realizate cu clase mai mici, securitate sporită, implicare sporită a părinților, facilități îmbunătățite și alte măsuri."
54,56,school uniforms,0.07419890910387039,no_relation,,contra,pro,"În orice alt domeniu al vieții, nu am visa să le spunem fetelor că trebuie să poarte o fustă.","Îmbunătățiri mai substanțiale ale educației publice ar putea fi realizate cu clase mai mici, securitate sporită, implicare sporită a părinților, facilități îmbunătățite și alte măsuri."
52,55,school uniforms,0.05810092017054558,no_relation,,pro,contra,Uniformele pot fi refolosite și reciclate.,"Atâta timp cât această paradă a alegerilor nu întrerupe ziua de școală, școlile ar trebui să fie interesate să cultive, mai degrabă decât să standardizeze, expresia elevilor."
