topic,sentence_en,sentence_ro,annotation,set
nuclear energy,It also helps people have more energy to power their homes .,"De asemenea, ajută oamenii să aibă mai multă energie pentru a-și alimenta casele.",Argument_for,train
nuclear energy,Proponents also believe that nuclear power is the only viable course to achieve energy independence for most Western countries .,"Susținătorii cred, de asemenea, că energia nucleară este singura cale viabilă pentru a obține independența energetică pentru majoritatea țărilor occidentale.",Argument_for,train
nuclear energy,"March 13 , 2009 : "" There is no such thing as nuclear waste .",13 martie 2009: „Nu există deşeuri nucleare”.,Argument_for,train
nuclear energy,"In so far as fossil fuels contribute to global warming and nuclear energy does not , therefore , fossil fuels are the real enemy of renewables .","În măsura în care combustibilii fosili contribuie la încălzirea globală, iar energia nucleară nu contribuie, prin urmare, combustibilii fosili sunt adevăratul inamic al surselor regenerabile.",Argument_for,train
nuclear energy,Nuclear Energy is the Most Certain Source .,Energia nucleară este sursa cea mai sigură.,Argument_for,train
nuclear energy,Nuclear energy is the primary alternative to dirty coal Patrick Moore .,Energia nucleară este alternativa principală la cărbunele murdar Patrick Moore.,Argument_for,train
nuclear energy,His figures show that nuclear energy is the only source that can challenge the climate-changing and environment-destroying fossil fuels for supremacy in providing the world ’s energy needs .,Cifrele sale arată că energia nucleară este singura sursă care poate provoca combustibilii fosili care schimbă climatul și distrug mediul pentru supremație în asigurarea nevoilor de energie ale lumii.,Argument_for,train
nuclear energy,"However , natural gas is still a carbon-emitting technology and contributes to climate change .","Cu toate acestea, gazele naturale sunt încă o tehnologie care emite carbon și contribuie la schimbările climatice.",Argument_for,train
nuclear energy,Nuclear power provides other benefits in addition to clean air .,Energia nucleară oferă alte beneficii pe lângă aerul curat.,Argument_for,train
nuclear energy,I stongly believe that Australia should use nuclear power .,Cred cu tărie că Australia ar trebui să folosească energia nucleară.,Argument_for,train
nuclear energy,"If nations meet their Paris pledges , called intended nationally determined contributions , or INDCs , and continue decarbonizing beyond 2030 at a rate of 5 percent , there is more than a 3-in-4 chance that a 4 C temperature rise could be avoided .","Dacă națiunile își îndeplinesc angajamentele de la Paris, numite contribuții stabilite la nivel național sau INDC, și continuă să se decarboneze după 2030 la o rată de 5%, există o șansă mai mare de 3 din 4 ca o creștere a temperaturii cu 4 C să poată fi evitată.",Argument_for,train
nuclear energy,"The authors also conclude that the emission of some 64 billion tonnes of carbon dioxide equivalent have been avoided by nuclear power between 1971 and 2009 , and that between 2010 and 2050 , nuclear could additionally avoid up to 80 to 240 billion tonnes .","Autorii concluzionează, de asemenea, că emisiile a aproximativ 64 de miliarde de tone echivalent dioxid de carbon au fost evitate de energia nucleară între 1971 și 2009 și că între 2010 și 2050, nuclearul ar putea evita suplimentar până la 80 până la 240 de miliarde de tone.",Argument_for,train
nuclear energy,"Fossil fuels , not nuclear , are the real enemies of renewables .","Combustibilii fosili, nu nucleare, sunt adevărații inamici ai surselor regenerabile.",Argument_for,train
nuclear energy,"In fact , a properly functioning nuclear power plant actually releases less radioactivity into the atmosphere than a coal-fired power plant [ source : Hvistendahl ] .","De fapt, o centrală nucleară care funcționează corect eliberează de fapt mai puțină radioactivitate în atmosferă decât o centrală pe cărbune.",Argument_for,train
nuclear energy,They support increased safety enforcement from the Nuclear Regulatory Commission among other steps to improve nuclear power .,"Aceștia sprijină aplicarea sporită a siguranței din partea Comisiei de Reglementare Nucleară, printre alți pași de îmbunătățire a energiei nucleare.",Argument_for,train
nuclear energy,"While we burn fossil fuels , use hydroelectric wind power , harness tidal and solar power , and look for other ways to meet our energy needs - we simply have to use nuclear energy as one method in achieving that .","În timp ce ardem combustibili fosili, folosim energia eoliană hidroelectrică, folosim energia mareelor ​​și solară și căutăm alte modalități de a ne satisface nevoile energetice - pur și simplu trebuie să folosim energia nucleară ca metodă pentru a realiza acest lucru.",Argument_for,train
nuclear energy,This enormous demand for new generating capacity must be met while also containing global warming and minimizing pollution and other environmental damage .,"Această cerere enormă pentru o nouă capacitate de generare trebuie să fie satisfăcută, în același timp, limitând încălzirea globală și minimizând poluarea și alte daune mediului.",Argument_for,train
nuclear energy,"Palo Alto , California ( CNN ) -- If our nation wants to reduce global warming , air pollution and energy instability , we should invest only in the best energy options .","Palo Alto, California (CNN) – Dacă națiunea noastră dorește să reducă încălzirea globală, poluarea aerului și instabilitatea energetică, ar trebui să investim doar în cele mai bune opțiuni energetice.",Argument_for,train
nuclear energy,"He said the costs of the transformation would be worth the benefits : 22 million net jobs , the costs of global warming , avoiding unstable energy prices and energy security .","El a spus că costurile transformării ar merita beneficiile: 22 de milioane de locuri de muncă nete, costurile încălzirii globale, evitarea prețurilor instabile la energie și securitatea energetică.",Argument_for,train
nuclear energy,"While it may be theoretically possible to stabilize the climate without nuclear power , in the real world there is no credible path to climate stabilization that does not include a substantial role for nuclear power .","Deși teoretic ar putea fi posibilă stabilizarea climei fără energie nucleară, în lumea reală nu există o cale credibilă către stabilizarea climei care să nu includă un rol substanțial pentru energia nucleară.",Argument_for,train
nuclear energy,"Mark Jacobson , a professor of civil and environmental engineering at Stanford University , is optimistic that the world can meet the 2 C target and , in fact , stabilize emissions at 350 ppm instead of the 450 ppm that the United Nations aspires to , using solely renewable energy .","Mark Jacobson, profesor de inginerie civilă și de mediu la Universitatea Stanford, este optimist că lumea poate îndeplini obiectivul de 2 C și, de fapt, poate stabiliza emisiile la 350 ppm în loc de 450 ppm la care aspiră Națiunile Unite, folosind exclusiv energie regenerabilă.",Argument_for,train
nuclear energy,It does not emit greenhouse gases and the waste can be disposed of easily .,"Nu emite gaze cu efect de seră, iar deșeurile pot fi eliminate cu ușurință.",Argument_for,train
nuclear energy,"Coal plants release more radioactivity into the environment than nuclear plants , through the release of thorium and uranium in coal ash .","Centralele pe cărbune eliberează mai multă radioactivitate în mediu decât centralele nucleare, prin eliberarea de toriu și uraniu în cenușa de cărbune.",Argument_for,train
nuclear energy,"To meet the short-term demand , the use of coal and other fossil fuels will increase .","Pentru a satisface cererea pe termen scurt, utilizarea cărbunelui și a altor combustibili fosili va crește.",Argument_for,train
nuclear energy,"Without batteries to store renewable energy over a span of months and not just days , the United States is not likely to achieve 100 percent renewable power in this century and will have to rely on either fossil fuels with carbon capture or nuclear power , Chu said , concluding that "" although nuclear power has a lot of bad things , it is carbon-free . ""","Fără baterii care să stocheze energia regenerabilă pe o perioadă de luni și nu doar zile, Statele Unite nu vor atinge 100% energie regenerabilă în acest secol și vor trebui să se bazeze fie pe combustibili fosili cu captarea carbonului, fie pe energia nucleară, a spus Chu, concluzionand că „deși energia nucleară are multe lucruri rele, este fără carbon”.",Argument_for,train
nuclear energy,"The authors arrived in part at their imaginary figure by attributing every death that occurred to the radiation from Chernobyl , as though suddenly all other causes of death stopped for the time being .","Autorii au ajuns parțial la figura lor imaginară atribuind fiecare deces care a avut loc radiației de la Cernobîl, ca și cum brusc toate celelalte cauze de deces s-ar fi oprit pentru moment.",Argument_for,train
nuclear energy,"Carbon emissions are among the chief cause of global climate change , according to the Environmental Protection Agency and a broad consensus of climate scientists .","Emisiile de carbon se numără printre principalele cauze ale schimbărilor climatice globale, potrivit Agenției pentru Protecția Mediului și un consens larg al cercetătorilor climatici.",Argument_for,train
nuclear energy,Nuclear plants also are safe for workers .,"Centralele nucleare sunt, de asemenea, sigure pentru muncitori.",Argument_for,train
nuclear energy,Firstly If Australia does not use nuclear energy Australia would let off greenhouse gasses .,"În primul rând, dacă Australia nu utilizează energia nucleară, Australia ar elibera gaze cu efect de seră.",Argument_for,train
nuclear energy,"Nuclear fusion is a reality , we have observed it in the universe yet building a reactor capable of producing and containing it is still decades away - some say it will not arrive until the middle of this century at the very earliest ( 17 , p7-8 ) .","Fuziunea nucleară este o realitate, am observat-o în univers, dar construirea unui reactor capabil să o producă și să o conțină este încă la câteva decenii - unii spun că nu va ajunge până la mijlocul acestui secol cel mai devreme (17, p7-8).",Argument_for,train
nuclear energy,"If these plants are shuttered , their output will be replaced in many cases by natural gas generation , which will increase greenhouse gas emissions , as has occurred after recent nuclear plant closures in Vermont and Wisconsin .","Dacă aceste centrale sunt închise, producția lor va fi înlocuită în multe cazuri cu generarea de gaze naturale, ceea ce va crește emisiile de gaze cu efect de seră, așa cum sa întâmplat după închiderile recente ale centralelor nucleare din Vermont și Wisconsin.",Argument_for,train
nuclear energy,New nuclear reprocessing systems reduce risks of weapons-use Reprocessing systems can be designed to make it more difficult to re-direct nuclear fuel into weapons-grade nuclear materials .,Noile sisteme de reprocesare nucleară reduc riscurile de utilizare a armelor Sistemele de reprocesare pot fi proiectate pentru a face mai dificilă redirecționarea combustibilului nuclear în materiale nucleare de calitate pentru arme.,Argument_for,train
nuclear energy,"Nevertheless , all this means is that we have to remain open to future replacements of theoretical positions , but holding such positions , even if temporarily , is necessary for us to be able to operate in the real world .","Totuşi, toate acestea înseamnă că trebuie să rămânem deschişi la înlocuirile viitoare de posturi teoretice, dar ocuparea unor astfel de posturi, chiar dacă temporar, este necesară pentru a putea opera în lumea reală.",Argument_for,train
nuclear energy,"This tech is already proven to be safe and controllable , well beyond that of other nuclear .","Această tehnologie sa dovedit deja a fi sigură și controlabilă, cu mult peste cea a altor nucleare.",Argument_for,train
nuclear energy,"Construction cost overruns notwithstanding , most nuclear power plants produce electricity at competitive costs .","În ciuda depășirii costurilor de construcție, majoritatea centralelor nucleare produc energie electrică la costuri competitive.",Argument_for,train
nuclear energy,"If the Fukushima reactors were automatically flooded as soon as the earthquake was detected , not manually and only several hours after the tsunami hit , there would have been no accident .","Dacă reactoarele de la Fukushima ar fi fost inundate automat imediat ce cutremurul a fost detectat, nu manual și doar la câteva ore după lovirea tsunami-ului, nu ar fi existat niciun accident.",Argument_for,train
nuclear energy,"Fossil fuels receive large direct and indirect subsidies , such as tax benefits and not having to pay for the greenhouse gases they emit .","Combustibilii fosili primesc mari subvenții directe și indirecte, cum ar fi beneficii fiscale și nu trebuie să plătească pentru gazele cu efect de seră pe care le emit.",Argument_for,train
nuclear energy,"Though dwindling fossil fuels were not an issue in the 1950 's when the first commercial nuclear power stations opened ( 2 ) around the world , it was clear there was a potential for efficient generation of cleaner power that could easily accommodate the growing demands of the future .","Deși scăderea combustibililor fosili nu a fost o problemă în anii 1950 când s-au deschis primele centrale nucleare comerciale (2) în întreaga lume, era clar că există un potențial de generare eficientă a energiei mai curate, care ar putea face față cu ușurință cerințelor tot mai mari ale viitorului.",Argument_for,train
nuclear energy,"Both nuclear and renewables are clean , noncarbon electricity generators that should be supported , but the vision that renewables alone can do the job in the next few decades is wishful thinking .","Atât energia nucleară, cât și cea regenerabilă sunt generatoare de energie electrică curată, fără emisii de carbon, care ar trebui sprijinite, dar viziunea conform căreia sursele regenerabile singure pot face treaba în următoarele câteva decenii este o iluzie.",Argument_for,train
nuclear energy,It does not make greenhouse gases so it is a good switch over .,"Nu produce gaze cu efect de seră, deci este o schimbare bună.",Argument_for,train
nuclear energy,"We see this in stars ( 17 , p1 ) at present and the possibility of a limitless almost cost-free fuel supply is a veritable holy grail for our existing and growing power needs .","Vedem acest lucru în stele ( 17 , p1 ) în prezent și posibilitatea unei aprovizionări nelimitate cu combustibil aproape fără costuri este un adevărat Sfânt Graal pentru nevoile noastre de energie existente și în creștere.",Argument_for,val
nuclear energy,Nuclear power plants do not produce greenhouse gases as do those powered by coal or natural gas .,Centralele nucleare nu produc gaze cu efect de seră la fel ca cele alimentate cu cărbune sau gaze naturale.,Argument_for,val
nuclear energy,“ The proposal to streamline the licensing process would accelarate the development of nuclear power of it is approved by Congress . ”,„Propunerea de simplificare a procesului de acordare a licențelor ar accelera dezvoltarea energiei nucleare este aprobată de Congres.”,Argument_for,val
nuclear energy,"Nuclear power , by virtue of its large size , centralised production of electricity and dependence on experts , was suitable for control by state bureaucracies .","Energia nucleară, în virtutea dimensiunii sale mari, a producției centralizate de energie electrică și a dependenței de experți, era potrivită pentru control de către birocrațiile de stat.",Argument_for,val
nuclear energy,The nuclear industry is heavily regulated .,Industria nucleară este puternic reglementată.,Argument_for,val
nuclear energy,"[ ... ] On 18 September , the DOE announced that its Next Generation Nuclear Plant project will receive a $ 40 million boost in funding .","[…] La 18 septembrie, DOE a anunțat că proiectul său de centrală nucleară de generație următoare va primi o finanțare de 40 de milioane de dolari.",Argument_for,val
nuclear energy,Pros Nuclear power can generate a vast amount of energy without spewing out air pollution during operation .,Avantaje Energia nucleară poate genera o cantitate mare de energie fără a arunca poluarea aerului în timpul funcționării.,Argument_for,val
nuclear energy,"It would finally signal the end of our fossil fuel requirements and at the same time , reduce greenhouse gas emissions to a mere fraction of what they presently are ( 19 ) .","În cele din urmă, ar semnala sfârșitul cerințelor noastre de combustibili fosili și, în același timp, ar reduce emisiile de gaze cu efect de seră la o simplă fracțiune din ceea ce sunt în prezent (19).",Argument_for,val
nuclear energy,"January 8 , 2008 : "" Decommissioning nuclear plants also cost a lot of money .",8 ianuarie 2008 : „ Dezafectarea centralelor nucleare a costat o grămadă de bani .,Argument_for,val
nuclear energy,"And the next generation of nuclear reactors will be even cheaper , safer , and more environmentally benign .","Iar următoarea generație de reactoare nucleare va fi și mai ieftină, mai sigură și mai ecologică.",Argument_for,val
nuclear energy,"Nuclear proponents also argue that nuclear energy production is constant , unlike fickle winds and sunshine .","Susținătorii nucleari susțin, de asemenea, că producția de energie nucleară este constantă, spre deosebire de vânturile instabile și soarele.",Argument_for,val
nuclear energy,"If you bring in a talented marketing agency you could not only raise the awareness you could even make it sexy , then people will be demanding it .","Dacă aduceți o agenție de marketing talentată, nu numai că ați putea crește gradul de conștientizare și ați putea chiar să o faceți sexy, atunci oamenii o vor cere.",Argument_for,val
nuclear energy,"However when you look at the extensive list of pros you mentioned I think like you probably , wow why has n’t this process been studied and restudied over and over since the early 60 ’s .","Cu toate acestea, când te uiți la lista extinsă de profesioniști pe care ai menționat-o, cred ca probabil și tine, wow de ce acest proces nu a fost studiat și re-studiat din nou și din nou de la începutul anilor 60.",Argument_for,val
nuclear energy,Any such material is transported in containers designed to ensure safety in any circumstance .,Orice astfel de material este transportat în containere concepute pentru a asigura siguranța în orice circumstanță.,Argument_for,test
nuclear energy,"The cost of the uranium , which is utilized as a fuel in this process , is low .","Costul uraniului, care este folosit ca combustibil în acest proces, este scăzut.",Argument_for,test
nuclear energy,Good that greenpeace has no influence there to prevent the cleanest and safest energy of all .,Bine că greenpeace nu are nicio influență acolo pentru a preveni cea mai curată și mai sigură energie dintre toate.,Argument_for,test
nuclear energy,"So of course the first jets had construction mistakes and crashed , but we learned and build better jets .","Deci, desigur, primele avioane au avut greșeli de construcție și s-au prăbușit, dar am învățat și am construit avioane mai bune.",Argument_for,test
nuclear energy,"Hydro and liquefied gas are the greatest killers , even before coal , but do environmentalists care ?","Hidroul şi gazul lichefiat sunt cei mai mari ucigaşi, chiar înaintea cărbunelui, dar le pasă ecologiştilor?",Argument_for,test
nuclear energy,The extensive coverage of such accidents was distorted heavily by the mass media and distorted even further by the ignorant population that believed them .,Acoperirea extinsă a unor astfel de accidente a fost puternic distorsionată de mass-media și distorsionată și mai mult de către populația ignorantă care le-a crezut.,Argument_for,test
nuclear energy,What about all the CO2 emissions created by the manufacturing and assembling of wind farms or solar energy installations ?,Cum rămâne cu toate emisiile de CO2 create de fabricarea și asamblarea parcurilor eoliene sau a instalațiilor de energie solară?,Argument_for,test
nuclear energy,Safeguards would detect any diversion .,Măsurile de siguranță ar detecta orice deturnare .,Argument_for,test
nuclear energy,"Also , if we know how to control atomic fusion , the same reactions that fuel the sun , we can have almost unlimited energy .","De asemenea , dacă știm să controlăm fuziunea atomică , aceleași reacții care alimentează soarele , putem avea energie aproape nelimitată .",Argument_for,test
nuclear energy,"Wastes are contained and managed , not released .","Deșeurile sunt conținute și gestionate, nu eliberate.",Argument_for,test
nuclear energy,The amount of fuel required by nuclear power plant is comparatively less than what is required by other power plants as energy released by nuclear fission is approximately ten million times greater than the amount of energy released by fossil fuel atom .,"Cantitatea de combustibil necesară unei centrale nucleare este comparativ mai mică decât cea cerută de alte centrale electrice, deoarece energia eliberată de fisiunea nucleară este de aproximativ zece milioane de ori mai mare decât cantitatea de energie eliberată de atomul de combustibil fosil.",Argument_for,test
nuclear energy,"“ Target for terrorism ” That also applies to other things like hydro , but modern micro plants can be underground so that even an airplane crash would not harm the reactor .","„Țintă pentru terorism” Acest lucru se aplică și altor lucruri precum hidrocentralele, dar microcentralele moderne pot fi subterane, astfel încât nici măcar un accident de avion să nu dăuneze reactorului.",Argument_for,test
nuclear energy,"Because they know that if you recycle fuel rods , you dont have a waste problem and they lose an argument against nuclear .","Pentru că ei știu că, dacă reciclezi barele de combustibil, nu ai o problemă cu deșeurile și pierd argumentul împotriva nuclearului.",Argument_for,test
nuclear energy,This presents risks to the populations that exist on the route to these waste areas .,Acest lucru prezintă riscuri pentru populațiile care există pe traseul către aceste zone de deșeuri.,Argument_against,train
nuclear energy,"Despite assurances from U.S. politicians and the nuclear industry that a similar disaster “ could n’t happen here , ” the possibility of a nuclear accident in the United States is very real .","În ciuda asigurărilor din partea politicienilor americani și a industriei nucleare că un dezastru similar „nu s-ar putea întâmpla aici”, posibilitatea unui accident nuclear în Statele Unite este foarte reală.",Argument_against,train
nuclear energy,"They argue that when all the energy-intensive stages of the nuclear fuel chain are considered , from uranium mining to nuclear decommissioning , nuclear power is not a low-carbon electricity source .","Ei susțin că, atunci când sunt luate în considerare toate etapele consumatoare de energie ale lanțului de combustibil nuclear, de la extracția de uraniu până la dezafectarea nucleară, energia nucleară nu este o sursă de electricitate cu emisii scăzute de carbon.",Argument_against,train
nuclear energy,We should take a page from the playbook of the German antinuclear movement .,Ar trebui să luăm o pagină din manualul mișcării antinucleare germane .,Argument_against,train
nuclear energy,"If a containment field were to rupture suddenly , the resulting leak of radiation could be catastrophic .","Dacă un câmp de izolare s-ar rupe brusc, scurgerea de radiații rezultată ar putea fi catastrofală.",Argument_against,train
nuclear energy,"In 1991 , Iraq launched Scud missiles at Israel ’s Dimona nuclear power plant .","În 1991, Irakul a lansat rachete Scud la centrala nucleară Dimona din Israel.",Argument_against,train
nuclear energy,Technically less advanced countries with nuclear power stations increases the safety risks .,Țările mai puțin avansate din punct de vedere tehnic cu centrale nucleare sporesc riscurile de siguranță.,Argument_against,train
nuclear energy,There is no need for nuclear .,Nu este nevoie de nucleare.,Argument_against,train
nuclear energy,"“ Nuclear power is not a near-term solution to the challenge of climate change , ” writes Sharon Squassoni in the IAEA bulletin .","„Energia nucleară nu este o soluție pe termen scurt la provocarea schimbărilor climatice”, scrie Sharon Squassoni în buletinul AIEA.",Argument_against,train
nuclear energy,""" Nine recent studies have concluded that the variability and intermittency of wind and solar resources becomes easier to manage the more they are deployed and interconnected , not the other way around , as some utilities suggest .","„Nouă studii recente au concluzionat că variabilitatea și intermitența resurselor eoliene și solare devin mai ușor de gestionat cu cât acestea sunt mai implementate și interconectate, nu invers, așa cum sugerează unele utilități.",Argument_against,train
nuclear energy,"As a result , the percentage of electricity from renewables has significantly increased in recent years , which is great .","Ca urmare , procentul de energie electrică din surse regenerabile a crescut semnificativ în ultimii ani , ceea ce este grozav .",Argument_against,train
nuclear energy,"Building new nuclear plants would mean the production of much more of this dangerous waste with no where for it to go . ""","Construirea de noi centrale nucleare ar însemna producerea a mult mai mult din aceste deșeuri periculoase, fără unde să se ducă. """,Argument_against,train
nuclear energy,"Nuclear reactors are major targets for terrorists : Because of the potential threat of mass destruction , nuclear power plants are major targets for terrorists .","Reactoarele nucleare sunt ținte majore pentru teroriști: din cauza potențialei amenințări de distrugere în masă, centralele nucleare sunt ținte majore pentru teroriști.",Argument_against,train
nuclear energy,"So nuclear power , which can only generate electricity , is almost irrelevant .","Deci energia nucleară , care poate genera doar electricitate , este aproape irelevantă .",Argument_against,train
nuclear energy,"As nuclear plants are notorious for cost overruns , the higher figure is much more likely .","Întrucât centralele nucleare sunt renumite pentru depășirile de costuri, o cifră mai mare este mult mai probabilă.",Argument_against,train
nuclear energy,"However , nuclear power plants are not much of an improvement over conventional coal-burning power plants despite claims that nuclear is the ‘ clean air energy . ’","Cu toate acestea, centralele nucleare nu reprezintă o îmbunătățire semnificativă față de centralele convenționale pe cărbune, în ciuda afirmațiilor că nuclearul este „energia aerului curat”. ’",Argument_against,train
nuclear energy,"Over time , spent nuclear fuel decays to safe radioactive levels , but this process takes tens of thousands of years .","De-a lungul timpului, combustibilul nuclear uzat se descompune la niveluri radioactive sigure, dar acest proces durează zeci de mii de ani.",Argument_against,train
nuclear energy,"Nuclear plant construction runs over-time and over-budget "" The case against nuclear power "" .",Construcția centralei nucleare depășește timpul și depășește bugetul „Cazul împotriva energiei nucleare”.,Argument_against,train
nuclear energy,"Simply because fire had greater potential for good than harm does not mean that the same is true for nuclear power . ""","Pur și simplu pentru că focul avea un potențial mai mare pentru bine decât pentru rău nu înseamnă că același lucru este valabil și pentru energia nucleară. """,Argument_against,train
nuclear energy,"Consequently , high-level radioactive waste requires sophisticated treatment and management to successfully isolate it from the biosphere .","În consecință, deșeurile radioactive de nivel înalt necesită un tratament și un management sofisticat pentru a le izola cu succes de biosferă.",Argument_against,train
nuclear energy,It 's still radioactive and potentially deadly .,Este încă radioactiv și potențial mortal.,Argument_against,train
nuclear energy,"Taxpayers , not nuclear industry , assume risks of disaster "" 6 reasons against nuclear energy "" .","Contribuabilii, nu industria nucleară, își asumă riscurile de dezastru „6 motive împotriva energiei nucleare”.",Argument_against,train
nuclear energy,"According to Tetsuo Iguchi , a professor in the department of quantum engineering at Nagoya University , if further complications arise and the situation deteriorates further , “ The worst-case scenario is that a meltdown makes the plant ’s site a permanent grave . ”","Potrivit lui Tetsuo Iguchi, profesor la departamentul de inginerie cuantică de la Universitatea Nagoya, dacă apar complicații ulterioare și situația se deteriorează și mai mult, „Scenariul cel mai rău este că o topire face din amplasamentul fabricii un mormânt permanent.”",Argument_against,train
nuclear energy,This appears to have resulted in more Americans prioritizing environmental protection and fewer backing nuclear power as an alternative energy source .,Acest lucru pare să fi dus la ca mai mulți americani să acorde prioritate protecției mediului și să susțină mai puțin energia nucleară ca sursă alternativă de energie.,Argument_against,train
nuclear energy,"Once lost , says Ramana , trust is extremely difficult to regain .","Odată pierdută , spune Ramana , încrederea este extrem de greu de recâştigat .",Argument_against,train
nuclear energy,"This mismatch stems mainly from the poor consumption efficiency of electricity compared to other energy carriers , and the transmission losses associated with nuclear plants which are usually situated far away from sources of demand .",Această nepotrivire rezultă în principal din eficienţa slabă a consumului de energie electrică în comparaţie cu alţi purtători de energie şi din pierderile de transport asociate centralelor nucleare care sunt de obicei situate departe de sursele de cerere.,Argument_against,train
nuclear energy,"Its supply is endless , unlike that of nuclear energy .","Furnizarea sa este nesfârșită, spre deosebire de cea a energiei nucleare.",Argument_against,train
nuclear energy,Nuclear power stations are so dangerous that no insurance company will undertake to pay the total costs of a disaster or a terrorist attack .,Centralele nucleare sunt atât de periculoase încât nicio companie de asigurări nu se va angaja să plătească costurile totale ale unui dezastru sau al unui atac terorist.,Argument_against,train
nuclear energy,"It is dangerous because it is been droped on Japan , Russia and other countries .","Este periculos pentru că a fost aruncat asupra Japoniei, Rusiei și altor țări.",Argument_against,train
nuclear energy,Nuclear waste is not being reprocessed except in a very few countries .,Deșeurile nucleare nu sunt reprocesate decât în ​​foarte puține țări.,Argument_against,train
nuclear energy,"Whereas the radiation level never was an immediate life hazard outside the plant , the displacement was the direct cause of over 1500 deaths · .","În timp ce nivelul radiațiilor nu a reprezentat niciodată un pericol imediat pentru viață în afara centralei, deplasarea a fost cauza directă a peste 1500 de decese·.",Argument_against,train
nuclear energy,What is the point of nuclear power in Austraila its just a waist of space .,"Ce rost are energia nucleară în Austraila, este doar o talie a spațiului.",Argument_against,train
