topic,sentence_ro,annotation,label_calin,label_diana,label_mihai,label_daniel,label_tudor
minimum wage,"Potrivit unui raport recent al CBS News, schimbarea este mai grea pentru proprietarii de afaceri mici, dintre care mulți încearcă să găsească modalități de a genera venituri suplimentare.",Argument_against,contra,contra,contra,contra,contra
minimum wage,Iar un loc de muncă poate fi în cele din urmă cel mai valoros lucru pentru o familie care se luptă să scape de sărăcie.,Argument_for,pro,pro,neutru,neutru,pro
minimum wage,Creșterea salariului minim federal este o parte importantă a consolidării economiei.,Argument_for,pro,pro,pro,pro,pro
minimum wage,Prin reducerea propriului salariu și direcționând mai mult din profiturile companiei sale în salarii.,NoArgument,neutru,pro,pro,neutru,neutru
minimum wage,"Aceasta este o povară uriașă pentru întreprinderi, dar costul va fi lipit de consumatori.",Argument_against,contra,contra,contra,contra,contra
minimum wage,"Potrivit Institutului de Politică Economică , salariul minim în Statele Unite ar fi fost de 18,28 USD în 2013 dacă salariul minim ar fi ținut pasul cu productivitatea muncii .",Argument_for,pro,pro,pro,pro,pro
nuclear energy,"Ce rost are energia nucleară în Australia, este doar o talie a spațiului.",Argument_against,contra,contra,contra,neutru,neutru
nuclear energy,Acest lucru prezintă riscuri pentru populațiile care există pe traseul către aceste zone de deșeuri.,Argument_against,contra,contra,contra,contra,contra
nuclear energy,"Construirea de noi centrale nucleare ar însemna producerea a mult mai mult din aceste deșeuri periculoase, fără unde să se ducă. """,Argument_against,contra,contra,contra,contra,contra
nuclear energy,"O strategie de bază împotriva energiei nucleare și a mineritului de uraniu poate fi văzută ca o „reformă nereformistă”: și anume, poate realiza o schimbare efectivă în cadrul sistemului într-un mod care slăbește, mai degrabă decât întărește structurile dominante, sau care ajută la prevenirea înrădăcinirii unor structuri noi, mai puternice.",NoArgument,neutru,contra,neutru,neutru,neutru
nuclear energy,"Susținătorii nucleari susțin, de asemenea, că producția de energie nucleară este constantă, spre deosebire de vânturile instabile și soarele.",Argument_for,pro,pro,pro,pro,pro
nuclear energy,CANE a fost înființat sub egida FOE după o întâlnire la Universitatea din Australia de Vest la sfârșitul anului 1975.,NoArgument,neutru,neutru,neutru,neutru,neutru
nuclear energy,"În plus, energia nucleară este o industrie tehnologică intensivă în care Statele Unite au condus în mod tradițional lumea.",Argument_for,pro,pro,pro,neutru,pro
nuclear energy,"Desigur , aceste participaţii nu sunt în discuţie în acest litigiu .",NoArgument,neutru,neutru,neutru,neutru,neutru
nuclear energy,"Mai rău, industria nucleară vrea să reproceseze deșeurile pentru a obține mai multă energie din uraniu din ce în ce mai rar.",Argument_against,contra,contra,contra,contra,contra
nuclear energy,"Fuziunea nucleară este o realitate, am observat-o în univers, dar construirea unui reactor capabil să o producă și să o conțină este încă la câteva decenii - unii spun că nu va ajunge până la mijlocul acestui secol cel mai devreme (17, p7-8).",Argument_for,pro,contra,contra,pro,neutru
nuclear energy,Dinamica internă a grupurilor locale și a grupărilor mai mari este importantă deoarece au implicații directe asupra tipului de alternative sociale căutate.,NoArgument,neutru,neutru,neutru,neutru,neutru
nuclear energy,"Furnizarea sa este nesfârșită, spre deosebire de cea a energiei nucleare.",Argument_against,contra,contra,contra,contra,contra
nuclear energy,"Desigur, este posibil ca fiecare sistem din această serie de backup-uri să eșueze unul după altul, dar probabilitatea pentru aceasta este extrem de mică.",Argument_for,pro,neutru,contra,pro,pro
nuclear energy,Un proiect eolian bun produce energie electrică doar aproximativ 30 la sută din timp.,Argument_for,pro,pro,pro,pro,pro
nuclear energy,Susținem aici că acele strategii care implică mobilizarea de la bază sunt mai eficiente în a interveni în punctele slabe ale structurilor decât acele strategii care se concentrează pe presiunea elitelor pentru a institui schimbări de la vârf.,NoArgument,pro,neutru,neutru,neutru,neutru
nuclear energy,"Cu toate acestea, nu există combustibil uzat radioactiv care să fie depozitat sau reprocesat cu surse convenționale de energie regenerabilă.",Argument_against,contra,contra,contra,contra,contra
nuclear energy,Energia nucleară oferă alte beneficii pe lângă aerul curat.,Argument_for,pro,pro,pro,pro,pro
school uniforms,Școlile din Finlanda sunt în topul clasamentului internațional și nu au uniformă școlară; în timp ce Marea Britanie are uniformele fără rezultate uimitoare .,Argument_against,contra,contra,contra,contra,contra
school uniforms,"Din nou, dacă era nevoie de mai multă disciplină, cum beneficiază uniformele școlare?",Argument_against,contra,contra,contra,contra,contra
school uniforms,"Ca răspuns , Mary și John Frudden , părinții unui elev au dat în judecată districtul școlar pe baza faptului că acesta a încălcat primul amendament .",Argument_against,contra,contra,contra,contra,contra
school uniforms,"Uhmm , ce zici de asta , ahh , Nu Pamela are aceeași rochie și o poartă atât de des...!",NoArgument,neutru,pro,neutru,neutru,pro
school uniforms,"În timpul unui interviu telefonic din aprilie 1996 , Dick Van Der Laan , purtătorul de cuvânt al districtului şcolar unificat din Long Beach , a declarat că singura schimbare care a avut loc în district , înainte de rezultatele îmbunătăţite ale disciplinei , a fost implementarea politicii uniforme .",Argument_for,pro,pro,pro,pro,pro
school uniforms,Creșterea testării nu îi obligă pe profesori să încurajeze învățarea prin memorare „drill and kill”.,NoArgument,neutru,neutru,neutru,neutru,neutru
school uniforms,"Acum, pentru că liceele din SUA le permit copiilor să poarte orice haine doresc (până la un punct), nu există nicio disciplină cu elevii.",Argument_for,pro,pro,pro,contra,pro
school uniforms,"Dacă decideți să nu vă imunizați copilul, îl puneți în pericol.",NoArgument,neutru,neutru,neutru,neutru,neutru
school uniforms,"Există riscuri de la legături, totuşi; pot fi prinși în lucruri, creând un pericol de strangulare și sunt ușor apucați în timpul bătăilor pe terenul de joacă.",Argument_against,contra,contra,contra,contra,neutru
school uniforms,"Prin urmare, copiii se judecă unii pe alții după aspectul lor fizic.",Argument_for,pro,pro,pro,pro,pro
school uniforms,Uniforme școlare – unii le iubesc și alții le urăsc.,NoArgument,neutru,neutru,neutru,neutru,neutru
school uniforms,"Ei au mers chiar până la a invocă o încălcare a libertăţii religioase , susţinând că renunţarea la uniforme pe motive de religie a permis şcolii să ierarhească validitatea anumitor religii .",Argument_against,contra,contra,contra,contra,contra
school uniforms,Elevii sunt adesea atât de concentrați pe garderoba lor încât le distrage atenția de la învățare.,Argument_for,pro,pro,pro,pro,pro
school uniforms,"Până acum, din punct de vedere legal, nicio problemă cu Primul Amendament, în temeiul hotărârilor judecătorești care se aplică școlilor publice din Nevada și statelor învecinate.",Argument_for,pro,pro,pro,pro,pro
school uniforms,"Descoperirile celor trei școli au fost, de asemenea, aproape identice.",NoArgument,neutru,neutru,neutru,neutru,neutru
school uniforms,"Poate fi folosit ca o scuză: Dacă un copil se comportă prost și trebuie pus la rând, uneori poate fi dificil pentru un profesor să găsească un motiv.",Argument_against,contra,neutru,contra,contra,neutru
school uniforms,"Uniforma de fapt nivelează terenul de joc în modă pentru familiile cu venituri modeste, deoarece toată lumea poartă aceeași rochie.",Argument_for,pro,pro,pro,pro,pro
